review_text,review_date,review_id,product_name,product_category,product_variant,product_price,product_url,product_id,rating,sold_count,shop_id,sentiment_label
"baru sekali ini terima brg dr belanja online dg packing super rapih dan aman. semula ragu, bagaimana mungkin mmbeli terlur ayam mentah , sec online. tp ternyata packing liar biasa. rapi, aman. Kerem seller",2024-12-22,1134256160,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
cocok bgt aku sama telur nya. nga Amis menurutku dan nga neg jadi nya. diterima dengan baik dan aman. terimakasih,2025-02-25,1242584634,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Telornya sudah sampai di rumah dengan kemasan yang sangat rapi, luar biasa. Terimakasih buat sellernya. Mantaps.",2025-07-15,1573444677,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Telor sudah diterima dengan baik dan tidak ada yang pecah, terimakasih buat sellernya.",2025-07-20,1581728541,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Alhamdulillah penjual amanah,Telor nya terbaik,sedap lezat sekali di bikin telor setengah matang.pembelian ke 2...In Syaa Allah menjadi langganan",2023-04-24,881041355,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Full Design,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Wah packingnya juara!!! Super duper aman. Kebetulan saat paket dtg, di rumah ga ada org &amp; paket mo ga mau dilempar oleh kurir. Setelah dibuka ternyata telur tidak ada yg pecah satupun, amaannnn!!! Telurnya bagus2 &amp; ukurannya sedang2. Sudah dimasak 2 butir &amp; warnanya oren. Terima kasih ya...puas bgt beli telur di Indofarm.",2024-11-13,1118157893,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Sudah diterima dengan baik dan pengirimannya cepat sekali, luar biasa mantaps sekali.",2025-07-10,1566074784,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Pasta Gigi nya sudah sampai di rumah, tapi belum dipakai, harusnya bagus, semoga repeat order lagi.",2025-08-01,1604703748,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
Sudah tiba cepat sekali sampai di rumah sangat luar biasa,2025-07-04,1554214843,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
Kualitasnya bagus. Ongkir juga gratis pakai plus jadi praktis banget. uda bersih lagi 👍,2023-01-01,821431198,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Produk bagus dan sesuai pesanan, packing aman, terimakasih seller",2022-07-15,713622848,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"packing rapi, ok bgt. gak ada yg pecah. segar2 telur nya. meskipun ngirimnya agak telat ya. gpp.. overall ok semua. makasih",2022-10-18,775794433,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
telor busuk semua 20 butir gak ada yg bagus 1 pun..padahal udah langganan beli di sini..tolong dong ganti,2023-11-19,965325091,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,1,1000000,8672687,negative
"Produk sesuai dengan deskripsi yang dijelaskan oleh Seller di halaman produk. Respon Seller, kecepatan pemrosesan pesanan dan pengemasan/ packaging pesanan aman dan bagus.",2023-11-11,962011000,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
pesan 2 dus. dus pertama Aman. Dus kedua waktu di buka dus ada pecah 1. sepertinya pecah dalam perjalanan.,2021-08-15,452869307,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Biasa,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Produk Oke, respon seller Cepat, packing Aman. Recommended Seller",2022-05-12,667751190,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"sesuai pesanan n pengiriman pecah satu n sdh dipotong biayanya, pembelian ke 3x tapi setiap telur direbus meletup, kulitnya pecah ( sesuai foto )",2023-09-22,942418248,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Full Design,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,4,1000000,8672687,positive
"packaging nya selalu rapi sehingga telur tidak ada yang pecah ,sudah jadi langganan sejak 2 tahun lalu puas deh pokoknya",2022-12-23,816075589,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Sdh sering beli , telornya diceplok,dadar, atau dimasak apapun wangi ,cangkangnya tebal tdk mudah retak,dan bersih dari kotoran ayam,telornya juga besar",2023-04-03,870645025,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Polos,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Telurnya bagus semua, packing rapih dan aman, gaada yang pecah, suka banget.. Thank you..",2021-08-12,450527210,Telur Ayam Kampung Asli - Telur Mengandung Omega 3,Makanan & Minuman,Box Biasa,87000,https://www.tokopedia.com/indofarmproduct/telur-ayam-kampung-asli-telur-mengandung-omega-3-1731491654043338692?extParam=ivf%3Dfalse,4601033481,5,1000000,8672687,positive
"Kuning telurnya besar warna orange n rasa enak, Tapi.. putih telur tekstur tidak kenyal n halus cenderung rapuh n kasar, kurang faham apakah memang begitu karena baru pertama kali beli telur Indofarm untuk konsumsi anabul yg alergi telur ayam negeri biasa. Semoga cocok. Pengiriman lama karena PO. Pengemasan aman tidak ada yg pecah.",2024-07-01,1059636096,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
Telurnya relatif kecil but I love them! The only type of eggs my body is not allergic to 😅,2021-08-07,446583264,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,4,100000,8672687,positive
1. Selalu ada garansi pecah dan refund di proses saat hari kerja. 2. Sudah sering order baru kali ini pecah sampai 3 butir.,2023-11-13,962791340,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
Pengiriman dan response sangat cepat. packing sangat safety dan bagus! produk sesuai sesuai deskripsi … Best Quality! Best seller! 👍👍👍,2021-09-09,472776180,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"1. Sempat lebih dari 2 hari lebih tidak diproses kirim, setelah di tanya baru di kirim. 2. Harus nya koordinasi lebih professional karena seller ini produsen khusus telur berkwalitas. 3. TANPA pecah dan retak, all perfect condition.",2023-12-29,982403061,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
Mantapp banget telornya ga ada yg pecah rada juga enak Pengirimanny agak lama y 3hari Thanks btw,2021-08-29,464594830,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,4,100000,8672687,positive
1. Pecah satu ekor calon Ayam 😔😔😔 2. Selalu garansi refund kalo pecah.,2024-01-25,993719971,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"kemasan super aman tp rupanya tetap ada yg pecah alhamdulillah masih bisa diselamatkan, order disini terus, klu dulu ada tulisan cage free nya skr udah gk ada lg",2025-09-05,1662631517,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"Kali ini sampai tanpa pecah 1 pun. Cantik&#34; telurnya. packing aman, atas telur msh diksh busa lg. Yg dlu pecah 1 mgkn krn telur nya lbh kecil, jd agak kocak dikit krn ga pas sama busa nya. Dan yg dlu atas telur tidak diksh busa. Tp walau dlu pecah 1 tp diganti sesuai jmlh telur yg pecah asal menyertakan bukti. Terima Kasih. Jadi langganan beli telur sehat disini",2022-05-26,678424135,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
terimakasih telur sudah sampai namun sayang ada pecah 1 telur,2021-10-07,493821557,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,4,100000,8672687,positive
1. The superb quality of eggs. 2. The exceptional packaging.,2025-02-04,1149918604,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"1. Super loyal customer but PO too long, takes 10 days. 2. Broken and cracked eggs are filed for complain. 3. Refund processing only less than 1 hour.",2024-08-11,1077833226,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"1. Super stars eggs. 2. Walau sudah 1/2 abad, bisa konsumsi telur ASAL low cholesterol plus rich with Omega. 3. Taste the best ever, even when it&#39;s uncooked smell fishy.",2023-11-24,967389125,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"cakep bgt. ga ada yg pecah. pengiriman kamis sore, Jum&#39;at pagi sudah sampai.",2024-01-26,994030123,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"beli untuk di Surabaya, aman, 1 saja yang pecah. warna kuning telur oranye.",2024-02-05,998686363,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"Pretty, fresh, tasty &amp; good quality eggs in a pretty box",2025-05-27,1486076809,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"tidak ada yang pecah, warna kuning omega, fresh dan kental",2025-05-04,1431362758,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
telur sdh sampai tp ada yg pecah atau retak,2021-09-19,480838515,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,3,100000,8672687,neutral
"1. Always the best taste for Omega 3 eggs. 2. This time short PO lead time, which is only 1 days. 3. Can&#39;t stand with 14 days PO, too long.",2024-12-25,1135275543,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"1. Most of the eggs are quite big in size. 2. Lovely landed without any damage. 3. Super great taste, yet lower in cholesterol.",2024-02-05,998618042,Telur Omega 3 Organik - INDOFARM Smart Eggs,Makanan & Minuman,Box Full Design,74900,https://www.tokopedia.com/indofarmproduct/telur-omega-3-organik-indofarm-smart-eggs-box-full-design-ba31e?extParam=ivf%3Dfalse,1457934746,5,100000,8672687,positive
"Belum dicoba, masih simpan kulkas. Packing bagus tapi tetap ada yang pecah. Pas dibuka kardusnya jadi bau dan bagian sudut kardusnya rembes cairan telur pecah.",2023-11-18,964860124,Telur Hijau dari Ayam Hitam (Rendah Kolesterol),Makanan & Minuman,Telur Besar 45g,122999,https://www.tokopedia.com/indofarmproduct/telur-hijau-dari-ayam-hitam-rendah-kolesterol-telur-besar-45g?extParam=ivf%3Dfalse,2349004012,5,100000,8672687,positive
"Pros: Telurnya segar, warna kuningnya orange, packaging premium, nutrisi kalau benar sesuai klaim, tinggi, seller ramah, kuning telur tidak mudah pecah. Cons: Pengiriman lama, ukuran tidak terlalu besar, pricey.",2024-07-26,1070592795,Telur Hijau dari Ayam Hitam (Rendah Kolesterol),Makanan & Minuman,Telur Besar 45g,122999,https://www.tokopedia.com/indofarmproduct/telur-hijau-dari-ayam-hitam-rendah-kolesterol-telur-besar-45g?extParam=ivf%3Dfalse,2349004012,5,100000,8672687,positive
"Produk dikemas rapi, respon seller cepat. Packing aman pengiriman cepat. Terima kasih",2022-11-08,788691970,Telur Hijau dari Ayam Hitam (Rendah Kolesterol),Makanan & Minuman,Telur Besar 45g,122999,https://www.tokopedia.com/indofarmproduct/telur-hijau-dari-ayam-hitam-rendah-kolesterol-telur-besar-45g?extParam=ivf%3Dfalse,2349004012,5,100000,8672687,positive
"Packaging super aman, inovatif. Tapi warna telur gak sehijau yg diiklankan, rada2 putih (makanya saya kasih bintang 4). Produksi gak terlalu lama, awalnya antisipasi sampai lewat 2 bulan, ternyata bisa seminggu sampai.",2021-08-24,460217064,Telur Hijau dari Ayam Hitam (Rendah Kolesterol),Makanan & Minuman,Box Full Design,122999,https://www.tokopedia.com/indofarmproduct/telur-hijau-dari-ayam-hitam-rendah-kolesterol-telur-besar-45g?extParam=ivf%3Dfalse,2349004012,4,100000,8672687,positive
"Kemasan aman, rapih, telur tidak ada yang pecah",2022-08-26,741514400,Telur Hijau dari Ayam Hitam (Rendah Kolesterol),Makanan & Minuman,Telur Besar 45g,122999,https://www.tokopedia.com/indofarmproduct/telur-hijau-dari-ayam-hitam-rendah-kolesterol-telur-besar-45g?extParam=ivf%3Dfalse,2349004012,5,100000,8672687,positive
